2849,scans,0000044,DataLength
"header",0034,"lines"
"Date",05-05-2016,"Time",02:31:43 pm
"ID","HAL 7 EPIC LOW ENERGY  #13339","Version",2
"Scans",2
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",4,4,0.01,100,100,1,1,
"Scan 2","RGA","Temperature","mass",4,4,0.01,100,100,1,1,
"Environment",
"Global","RGA"
"1st-dynode",-4000,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"channel_1",0.00,"V"
"channel_2",0.00,"V"
"channel_3",0.00,"V"
"channel_4",0.00,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",180.000,"uA"
"energy",-1.00,"V"
"focus",-200,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"mass",4.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",2600,"V"
"resolution",0,"%"
"Data",2
"Time","ms","Scan 1 : mass 4.00","Scan 2 : mass 4.00",
00:00:01,  1631,           0,     310.338,
00:00:01,  1954,           0,     310.338,
00:00:02,  2277,           0,     310.274,
00:00:02,  2600,           0,     310.402,
00:00:02,  2922,           0,     310.177,
00:00:03,  3245,          40,     310.064,
00:00:03,  3568,          80,     310.322,
00:00:03,  3890,         570,     310.193,
00:00:04,  4214,        2250,     310.274,
00:00:04,  4536,        6610,     310.145,
00:00:04,  4859,        6580,     310.274,
00:00:05,  5182,        7090,     310.274,
00:00:05,  5504,        6920,     310.209,
00:00:05,  5827,        6410,      310.08,
00:00:06,  6150,        6540,     310.225,
00:00:06,  6472,        6600,     310.209,
00:00:06,  6795,        6490,     310.113,
00:00:07,  7118,        6900,     310.177,
00:00:07,  7441,        6890,     310.161,
00:00:07,  7764,        6750,     310.193,
00:00:08,  8086,        6360,     310.258,
00:00:08,  8409,        7000,     310.274,
00:00:08,  8732,        7060,     310.097,
00:00:09,  9055,        6630,     310.322,
00:00:09,  9377,        6640,      310.37,
00:00:09,  9700,        6500,     310.322,
00:00:10, 10023,        6410,     310.258,
00:00:10, 10345,        6740,     310.225,
00:00:10, 10668,        6990,     310.209,
00:00:10, 10991,        6400,      310.08,
00:00:11, 11314,        6550,     310.161,
00:00:11, 11637,        6660,     310.177,
00:00:11, 11959,        6460,     310.241,
00:00:12, 12282,        6150,     310.145,
00:00:12, 12605,        6180,     310.145,
00:00:12, 12927,        6570,     310.306,
00:00:13, 13250,        6960,     310.064,
00:00:13, 13573,        6900,     310.225,
00:00:13, 13895,        6490,     310.209,
00:00:14, 14219,        6800,     309.984,
00:00:14, 14541,        6310,     310.258,
00:00:14, 14864,        6540,     310.274,
00:00:15, 15187,        6170,     310.354,
00:00:15, 15509,        6750,     310.241,
00:00:15, 15832,        6720,     310.258,
00:00:16, 16155,        6600,     310.113,
00:00:16, 16477,        7030,     310.016,
00:00:16, 16800,        6760,     310.048,
00:00:17, 17123,        6640,     310.161,
00:00:17, 17446,        6880,     310.193,
00:00:17, 17769,        6080,     310.097,
00:00:18, 18091,        6290,     310.499,
00:00:18, 18414,        6550,     310.322,
00:00:18, 18737,        6920,     310.113,
00:00:19, 19059,        6810,     310.177,
00:00:19, 19382,        6550,      310.37,
00:00:19, 19705,        6680,      310.29,
00:00:20, 20027,        6720,      310.08,
00:00:20, 20350,        6200,     310.032,
00:00:20, 20673,        6720,     310.354,
00:00:20, 20995,        6380,     310.258,
00:00:21, 21319,        6540,     310.129,
00:00:21, 21641,        6760,     310.113,
00:00:21, 21964,        6550,     310.306,
00:00:22, 22287,        6700,     310.225,
00:00:22, 22609,        6660,      310.08,
00:00:22, 22932,        6940,     310.097,
00:00:23, 23255,        6560,     310.064,
00:00:23, 23577,        6440,     310.225,
00:00:23, 23900,        6600,     310.241,
00:00:24, 24223,        6300,     310.306,
00:00:24, 24545,        6080,     310.193,
00:00:24, 24869,        6180,      310.29,
00:00:25, 25191,        6720,     310.354,
00:00:25, 25514,        6830,         310,
00:00:25, 25837,        6610,     310.097,
00:00:26, 26159,        6680,     310.145,
00:00:26, 26482,        6660,     310.225,
