3027,scans,0000044,DataLength
"header",0034,"lines"
"Date",05-05-2016,"Time",05:33:10 pm
"ID","HAL 7 EPIC LOW ENERGY  #13339","Version",2
"Scans",2
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",4,4,0.01,100,100,1,1,
"Scan 2","RGA","Temperature","mass",4,4,0.01,100,100,1,1,
"Environment",
"Global","RGA"
"1st-dynode",-4000,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"channel_1",0.00,"V"
"channel_2",0.00,"V"
"channel_3",0.00,"V"
"channel_4",0.00,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",180.000,"uA"
"energy",-1.00,"V"
"focus",-200,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"mass",4.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",2600,"V"
"resolution",0,"%"
"Data",2
"Time","ms","Scan 1 : mass 4.00","Scan 2 : mass 4.00",
00:00:01,  1631,           0,     318.229,
00:00:01,  1954,           0,     318.212,
00:00:02,  2277,           0,     318.196,
00:00:02,  2600,           0,      318.39,
00:00:02,  2922,           0,     318.229,
00:00:03,  3245,          10,     318.341,
00:00:03,  3568,         160,     318.277,
00:00:03,  3890,         940,     318.212,
00:00:04,  4213,        3670,     318.148,
00:00:04,  4536,        9390,     318.309,
00:00:04,  4858,        9510,     318.245,
00:00:05,  5181,        9240,     318.309,
00:00:05,  5504,        9670,     318.374,
00:00:05,  5827,        9140,     318.293,
00:00:06,  6150,        8860,     318.341,
00:00:06,  6472,        8800,     318.341,
00:00:06,  6795,        9490,     318.341,
00:00:07,  7118,        9440,     318.454,
00:00:07,  7440,        8620,     318.422,
00:00:07,  7763,        8600,     318.357,
00:00:08,  8086,        8670,      318.18,
00:00:08,  8408,        8720,     318.357,
00:00:08,  8731,        8420,     318.486,
00:00:09,  9053,        8770,     318.245,
00:00:09,  9377,        8680,     318.357,
00:00:09,  9699,        8980,     318.325,
00:00:10, 10022,        9020,     318.212,
00:00:10, 10345,        9250,     318.245,
00:00:10, 10667,        8390,     318.261,
00:00:10, 10990,        9070,     318.341,
00:00:11, 11313,        9030,     318.229,
00:00:11, 11635,        8520,      318.18,
00:00:11, 11958,        8580,     318.277,
00:00:12, 12281,        8890,     318.261,
00:00:12, 12603,        8560,     318.341,
00:00:12, 12926,        8550,     318.454,
00:00:13, 13249,        8820,     318.357,
00:00:13, 13572,        9290,     318.277,
00:00:13, 13895,        8640,     318.325,
00:00:14, 14217,        8880,     318.293,
00:00:14, 14540,        9380,      318.18,
00:00:14, 14863,        9020,     318.277,
00:00:15, 15185,        8630,      318.18,
00:00:15, 15508,        8910,     318.164,
00:00:15, 15831,        8700,     318.438,
00:00:16, 16153,        8770,     318.422,
00:00:16, 16477,        9080,      318.39,
00:00:16, 16799,        8560,     318.325,
00:00:17, 17122,        8960,     318.293,
00:00:17, 17445,        8600,     318.438,
00:00:17, 17767,        9150,     318.325,
00:00:18, 18090,        8840,      318.39,
00:00:18, 18413,        8870,     318.341,
00:00:18, 18735,        9080,     318.196,
00:00:19, 19058,        8760,     318.261,
00:00:19, 19381,        9240,     318.583,
00:00:19, 19703,        9410,     318.245,
00:00:20, 20027,        8680,      318.39,
00:00:20, 20349,        8780,     318.422,
00:00:20, 20672,        9170,     318.293,
00:00:20, 20995,        8960,     318.341,
00:00:21, 21317,        9540,     318.519,
00:00:21, 21640,        9060,     318.293,
00:00:21, 21963,        8180,     318.325,
00:00:22, 22285,        8570,     318.196,
00:00:22, 22608,        9500,     318.245,
00:00:22, 22931,        8560,     318.261,
00:00:23, 23253,        8420,     318.293,
00:00:23, 23577,        9020,     318.261,
00:00:23, 23899,        8530,     318.212,
00:00:24, 24222,        8730,     318.341,
00:00:24, 24545,        8600,     318.374,
00:00:24, 24867,        8530,     318.229,
00:00:25, 25190,        9540,     318.357,
00:00:25, 25513,        8440,     318.438,
00:00:25, 25835,        8730,     318.357,
00:00:26, 26158,        8400,     318.438,
00:00:26, 26481,        9300,     318.325,
00:00:26, 26803,        8970,     318.309,
00:00:27, 27127,        9180,     318.374,
00:00:27, 27449,        9580,     318.551,
00:00:27, 27772,        8770,     318.261,
00:00:28, 28095,        9420,     318.277,
00:00:28, 28417,        8700,     318.261,
00:00:28, 28740,        8710,     318.325,
00:00:29, 29063,        8790,     318.341,
00:00:29, 29385,        8810,     318.406,
00:00:29, 29708,        8610,     318.374,
00:00:30, 30031,        9350,     318.357,
00:00:30, 30353,        8510,      318.39,
00:00:30, 30676,        9380,     318.406,
00:00:30, 30999,        8600,     318.148,
00:00:31, 31322,        8460,     318.212,
00:00:31, 31645,        8550,     318.357,
00:00:31, 31967,        8690,     318.229,
00:00:32, 32290,        8790,     317.939,
00:00:32, 32613,        8820,     318.325,
00:00:32, 32935,        8650,     318.374,
00:00:33, 33258,        8860,     318.438,
00:00:33, 33581,        8760,     318.406,
