2506,scans,0000044,DataLength
"header",0034,"lines"
"Date",29-05-2016,"Time",10:52:44 pm
"ID","HAL 7 EPIC LOW ENERGY  #13339","Version",2
"Scans",2
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",4,4,0.01,100,100,1,1,
"Scan 2","RGA","Temperature","mass",4,4,0.01,100,100,1,1,
"Environment",
"Global","RGA"
"1st-dynode",-4000,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"channel_1",0.00,"V"
"channel_2",0.00,"V"
"channel_3",0.00,"V"
"channel_4",0.00,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",180.000,"uA"
"energy",-1.00,"V"
"focus",-200,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"mass",4.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",2600,"V"
"resolution",0,"%"
"Data",2
"Time","ms","Scan 1 : mass 4.00","Scan 2 : mass 4.00",
00:00:01,  1631,           0,     327.166,
00:00:01,  1954,           0,     327.182,
00:00:02,  2277,           0,      327.23,
00:00:02,  2599,           0,     327.118,
00:00:02,  2922,           0,     327.166,
00:00:03,  3245,           0,     327.214,
00:00:03,  3567,          20,     327.182,
00:00:03,  3890,         110,     326.973,
00:00:04,  4213,         420,     327.069,
00:00:04,  4535,        1570,     327.069,
00:00:04,  4858,        1750,      326.86,
00:00:05,  5181,        1900,     327.069,
00:00:05,  5504,        1560,     326.892,
00:00:05,  5827,        1570,     326.957,
00:00:06,  6149,        1670,     326.989,
00:00:06,  6472,        1970,     326.844,
00:00:06,  6795,        1740,     326.957,
00:00:07,  7117,        1660,     327.182,
00:00:07,  7440,        1820,     327.069,
00:00:07,  7763,        1800,     327.021,
00:00:08,  8085,        1640,     327.037,
00:00:08,  8409,        1580,     326.924,
00:00:08,  8731,        1550,     327.005,
00:00:09,  9054,        1670,     327.085,
00:00:09,  9377,        1750,     326.973,
00:00:09,  9700,        1830,     326.957,
00:00:10, 10022,        1490,     326.989,
00:00:10, 10345,        1640,     327.005,
00:00:10, 10668,        1700,     326.957,
00:00:10, 10990,        1570,     326.844,
00:00:11, 11313,        1670,     326.924,
00:00:11, 11636,        1720,      326.86,
00:00:11, 11959,        1680,     326.828,
00:00:12, 12281,        1630,     326.973,
00:00:12, 12604,        1810,     326.973,
00:00:12, 12927,        1450,     326.989,
00:00:13, 13249,        1860,     326.973,
00:00:13, 13572,        1900,     326.924,
00:00:13, 13895,        1830,     326.908,
