4993,scans,0000045,DataLength
"header",0034,"lines"
"Date",21-04-2016,"Time",01:39:26 pm
"ID","HAL 7 EPIC LOW ENERGY  #13339","Version",2
"Scans",2
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",4,4,0.01,100,100,1,1,
"Scan 2","RGA","Temperature","mass",4,4,0.01,100,100,1,1,
"Environment",
"Global","RGA"
"1st-dynode",-4000,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"channel_1",0.00,"V"
"channel_2",0.00,"V"
"channel_3",0.00,"V"
"channel_4",0.00,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",180.000,"uA"
"energy",-1.00,"V"
"focus",-200,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"mass",4.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",2600,"V"
"resolution",0,"%"
"Data",2
"Time","ms","Scan 1 : mass 4.00","Scan 2 : mass 4.00",
00:00:01,   1631,           0,     304.348,
00:00:01,   1954,           0,     304.316,
00:00:02,   2276,           0,     304.235,
00:00:02,   2599,           0,       304.3,
00:00:02,   2922,           0,     304.348,
00:00:03,   3244,         200,     304.332,
00:00:03,   3568,        2130,       304.3,
00:00:03,   3890,        8520,     304.461,
00:00:04,   4213,       26300,     304.444,
00:00:04,   4536,       36080,     304.364,
00:00:04,   4858,       35010,     304.348,
00:00:05,   5181,       34950,     304.412,
00:00:05,   5504,       35930,       304.3,
00:00:05,   5827,       35850,     304.509,
00:00:06,   6149,       36290,     304.525,
00:00:06,   6472,       36190,     304.332,
00:00:06,   6795,       35590,     304.348,
00:00:07,   7118,       36070,     304.283,
00:00:07,   7441,       36040,     304.412,
00:00:07,   7763,       35210,     304.396,
00:00:08,   8086,       34880,     304.461,
00:00:08,   8409,       34710,     304.267,
00:00:08,   8731,       35060,       304.3,
00:00:09,   9054,       36210,     304.509,
00:00:09,   9377,       34500,     304.509,
00:00:09,   9699,       34820,     304.187,
00:00:10,  10023,       35200,     304.364,
00:00:10,  10345,       35260,     304.428,
00:00:10,  10668,       34780,     304.444,
00:00:10,  10991,       34450,     304.557,
00:00:11,  11313,       35450,     304.283,
00:00:11,  11636,       34590,     304.316,
00:00:11,  11959,       35440,     304.412,
00:00:12,  12281,       36320,     304.461,
00:00:12,  12604,       35170,     304.316,
00:00:12,  12927,       34850,     304.187,
00:00:13,  13249,       35280,     304.412,
00:00:13,  13573,       35290,     304.283,
00:00:13,  13895,       36250,     304.316,
00:00:14,  14218,       35580,     304.461,
00:00:14,  14541,       34680,     304.461,
00:00:14,  14863,       35160,     304.525,
00:00:15,  15186,       34010,     304.589,
00:00:15,  15509,       35370,     304.283,
00:00:15,  15831,       36140,     304.267,
00:00:16,  16154,       34820,     304.412,
00:00:16,  16477,       35280,     304.283,
00:00:16,  16799,       35030,     304.477,
00:00:17,  17123,       35580,     304.412,
00:00:17,  17445,       34660,     304.348,
00:00:17,  17768,       35860,     304.461,
00:00:18,  18091,       35880,      304.38,
00:00:18,  18413,       34910,     304.348,
00:00:18,  18736,       35890,     304.396,
00:00:19,  19059,       35840,     304.477,
00:00:19,  19382,       35400,     304.557,
00:00:19,  19704,       35400,     304.461,
00:00:20,  20028,       34780,     304.332,
00:00:20,  20350,       35560,     304.428,
00:00:20,  20673,       35570,     304.348,
00:00:20,  20996,       35310,     304.348,
00:00:21,  21318,       35660,     304.348,
00:00:21,  21641,       35470,      304.38,
00:00:21,  21963,       35310,     304.444,
00:00:22,  22286,       34770,     304.654,
00:00:22,  22609,       35490,     304.477,
00:00:22,  22932,       35450,     304.316,
00:00:23,  23254,       36750,     304.493,
00:00:23,  23577,       35100,     304.332,
00:00:23,  23900,       35240,     304.461,
00:00:24,  24223,       35530,     304.219,
00:00:24,  24546,       35600,     304.444,
00:00:24,  24868,       34620,     304.364,
00:00:25,  25191,       34470,      304.38,
00:00:25,  25514,       34710,     304.396,
00:00:25,  25836,       34370,     304.203,
