2664,scans,0000044,DataLength
"header",0034,"lines"
"Date",26-04-2016,"Time",04:09:45 pm
"ID","HAL 7 EPIC LOW ENERGY  #13339","Version",2
"Scans",2
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","SEM","mass",4,4,0.01,100,100,1,1,
"Scan 2","RGA","Temperature","mass",4,4,0.01,100,100,1,1,
"Environment",
"Global","RGA"
"1st-dynode",-4000,"V"
"CRV_range",7,"c/s"
"CRV_resolution",6,"bits"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"channel_1",0.00,"V"
"channel_2",0.00,"V"
"channel_3",0.00,"V"
"channel_4",0.00,"V"
"delta-m",0,"%"
"discriminator",-10,"%"
"electron-energy",70.0,"V"
"emission",180.000,"uA"
"energy",-1.00,"V"
"focus",-200,"V"
"gate_delay",0.1,"uS"
"gate_width",0.0,"uS"
"gating",0,"( 1 = on, 0 = off )"
"gating_invert",0,"( 0 = normal, 1 = invert)"
"mass",4.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",2600,"V"
"resolution",0,"%"
"Data",2
"Time","ms","Scan 1 : mass 4.00","Scan 2 : mass 4.00",
00:00:01,  1631,           0,     309.114,
00:00:01,  1954,           0,      309.13,
00:00:02,  2277,           0,     309.114,
00:00:02,  2599,           0,     308.905,
00:00:02,  2922,           0,      309.05,
00:00:03,  3245,          10,     308.937,
00:00:03,  3568,         280,      309.05,
00:00:03,  3890,         770,     309.275,
00:00:04,  4213,        2250,     309.147,
00:00:04,  4536,        6240,      309.05,
00:00:04,  4858,       10520,      309.05,
00:00:05,  5181,       10870,     309.082,
00:00:05,  5504,       10380,     308.905,
00:00:05,  5827,       10600,     308.937,
00:00:06,  6150,       10360,     308.953,
00:00:06,  6472,       10500,     308.857,
00:00:06,  6795,       10590,     309.082,
00:00:07,  7118,       10020,     309.002,
00:00:07,  7440,       10490,     309.147,
00:00:07,  7763,        9920,     309.163,
00:00:08,  8086,       10550,      309.05,
00:00:08,  8409,       10420,     309.066,
00:00:08,  8732,       10150,     309.211,
00:00:09,  9054,       10810,     309.147,
00:00:09,  9377,       10330,     309.163,
00:00:09,  9700,       10630,      309.05,
00:00:10, 10022,       10770,      309.05,
00:00:10, 10345,       10050,     308.986,
00:00:10, 10668,        9940,     309.034,
00:00:10, 10990,       10040,     308.953,
00:00:11, 11313,        9830,     308.953,
00:00:11, 11636,       10110,     308.873,
00:00:11, 11959,       10830,     308.857,
00:00:12, 12282,        9840,     309.098,
00:00:12, 12604,        9860,     309.034,
00:00:12, 12927,        9680,     309.002,
00:00:13, 13250,       10450,     308.792,
00:00:13, 13573,       10270,     309.098,
00:00:13, 13895,       10410,     309.227,
00:00:14, 14218,        9740,     309.098,
00:00:14, 14541,        9810,     309.018,
00:00:14, 14863,       10130,     309.163,
00:00:15, 15186,       10360,     309.147,
00:00:15, 15509,       10000,     309.114,
00:00:15, 15832,       10270,     309.114,
00:00:16, 16155,       10220,     309.147,
00:00:16, 16477,       10600,     308.953,
00:00:16, 16800,       10200,      309.05,
00:00:17, 17123,       10330,     308.889,
00:00:17, 17445,       10160,      309.05,
00:00:17, 17768,       10900,     309.179,
00:00:18, 18091,       10020,     309.227,
00:00:18, 18413,       10200,     309.163,
00:00:18, 18736,        9850,     309.002,
00:00:19, 19059,        9630,     309.308,
00:00:19, 19382,        9800,     309.211,
00:00:19, 19705,        9870,     309.227,
00:00:20, 20027,       10010,     308.873,
00:00:20, 20350,       10720,     309.179,
00:00:20, 20673,        9700,     309.098,
00:00:20, 20995,       10450,     309.066,
00:00:21, 21318,       10020,      309.13,
00:00:21, 21641,       10660,     308.986,
00:00:21, 21963,       10320,     308.905,
00:00:22, 22287,       10570,     309.179,
00:00:22, 22609,        9860,     309.163,
00:00:22, 22932,       10430,     309.082,
00:00:23, 23255,       10010,     308.986,
