kalibreringskkurve;;;
;;;
;;;
TC;pyrometer;;
350;321.3;408,435;135,285
380;322.0;432,198;159,048
410;322.8;455,961;182,811
440;323.2;479,724;206,574
470;323.5;503,487;230,337
500;324.5;527,25;254,1
530;326.6;551,013;277,863
560;331.0;574,776;301,626
590;339.7;598,539;325,389
620;353.7;622,302;349,152
650;371.2;646,065;372,915
680;394.7;669,828;396,678
710;417.7;693,591;420,441
740;443.9;717,354;444,204
770;468.7;741,117;467,967
800;492.7;764,88;491,73
830;516.2;788,643;515,493
860;539.0;812,406;539,256
890;563.6;836,169;563,019
